Nama;AgeGroup;Laki_laki;Perempuan;Total;Laki_persen;Perempuan_persen
ACEH;0-4;251.133;239.742;490.875; 0,09 ;-0,09 
ACEH;05-9;248.087;237.231;485.318; 0,09 ;-0,09 
ACEH;10-14;249.888;235.033;484.921; 0,09 ;-0,09 
ACEH;15-19;245.079;231.662;476.741; 0,09 ;-0,09 
ACEH;20-24;239.338;229.461;468.799; 0,09 ;-0,09 
ACEH;25-29;228.907;222.144;451.051; 0,09 ;-0,08 
ACEH;30-34;218.162;215.167;433.329; 0,08 ;-0,08 
ACEH;35-39;200.856;200.085;400.941; 0,08 ;-0,08 
ACEH;40-44;182.066;183.034;365.100; 0,07 ;-0,07 
ACEH;45-49;157.730;159.914;317.644; 0,06 ;-0,06 
ACEH;50-54;129.608;132.582;262.190; 0,05 ;-0,05 
ACEH;55-59;103.800;107.805;211.605; 0,04 ;-0,04 
ACEH;60-64;77.427;82.287;159.714; 0,03 ;-0,03 
ACEH;65-69;54.347;60.718;115.065; 0,02 ;-0,02 
ACEH;70-74;30.732;42.109;72.841; 0,01 ;-0,02 
ACEH;75-79;18.068;26.805;44.873; 0,01 ;-0,01 
ACEH;80-84;8.656;14.240;22.896; 0,00 ;-0,01 
ACEH;85-89;2.968;5.625;8.593; 0,00 ;-0,00 
ACEH;90-94;633;1.444;2.077; 0,00 ;-0,00 
ACEH;95+;78;220;298; 0,00 ;-0,00 
SUMATERA UTARA;0-4;706.122;673.920;1.380.042; 0,10 ;-0,09 
SUMATERA UTARA;05-9;694.771;664.256;1.359.027; 0,09 ;-0,09 
SUMATERA UTARA;10-14;686.358;645.632;1.331.990; 0,09 ;-0,09 
SUMATERA UTARA;15-19;675.684;637.066;1.312.750; 0,09 ;-0,09 
SUMATERA UTARA;20-24;674.661;641.871;1.316.532; 0,09 ;-0,09 
SUMATERA UTARA;25-29;642.766;617.177;1.259.943; 0,09 ;-0,08 
SUMATERA UTARA;30-34;598.218;580.753;1.178.971; 0,08 ;-0,08 
SUMATERA UTARA;35-39;550.142;541.966;1.092.108; 0,07 ;-0,07 
SUMATERA UTARA;40-44;502.391;505.043;1.007.434; 0,07 ;-0,07 
SUMATERA UTARA;45-49;442.064;453.127;895.191; 0,06 ;-0,06 
SUMATERA UTARA;50-54;376.352;396.732;773.084; 0,05 ;-0,05 
SUMATERA UTARA;55-59;308.106;332.220;640.326; 0,04 ;-0,05 
SUMATERA UTARA;60-64;237.809;263.570;501.379; 0,03 ;-0,04 
SUMATERA UTARA;65-69;167.173;192.927;360.100; 0,02 ;-0,03 
SUMATERA UTARA;70-74;90.722;115.583;206.305; 0,01 ;-0,02 
SUMATERA UTARA;75-79;41.462;64.700;106.162; 0,01 ;-0,01 
SUMATERA UTARA;80-84;19.281;33.719;53.000; 0,00 ;-0,00 
SUMATERA UTARA;85-89;6.450;13.175;19.625; 0,00 ;-0,00 
SUMATERA UTARA;90-94;1.350;3.366;4.716; 0,00 ;-0,00 
SUMATERA UTARA;95+;164;512;676; 0,00 ;-0,00 
SUMATERA BARAT;0-4;233.807;222.894;456.701; 0,08 ;-0,08 
SUMATERA BARAT;05-9;234.570;224.032;458.602; 0,08 ;-0,08 
SUMATERA BARAT;10-14;254.481;237.175;491.656; 0,09 ;-0,09 
SUMATERA BARAT;15-19;254.358;236.828;491.186; 0,09 ;-0,09 
SUMATERA BARAT;20-24;250.012;234.107;484.119; 0,09 ;-0,09 
SUMATERA BARAT;25-29;237.862;224.280;462.142; 0,09 ;-0,08 
SUMATERA BARAT;30-34;220.839;210.018;430.857; 0,08 ;-0,08 
SUMATERA BARAT;35-39;204.625;197.216;401.841; 0,07 ;-0,07 
SUMATERA BARAT;40-44;189.423;185.872;375.295; 0,07 ;-0,07 
SUMATERA BARAT;45-49;169.968;170.138;340.106; 0,06 ;-0,06 
SUMATERA BARAT;50-54;149.537;153.974;303.511; 0,05 ;-0,06 
SUMATERA BARAT;55-59;126.166;133.239;259.405; 0,05 ;-0,05 
SUMATERA BARAT;60-64;102.367;111.779;214.146; 0,04 ;-0,04 
SUMATERA BARAT;65-69;74.956;85.423;160.379; 0,03 ;-0,03 
SUMATERA BARAT;70-74;44.040;54.669;98.709; 0,02 ;-0,02 
SUMATERA BARAT;75-79;23.310;36.282;59.592; 0,01 ;-0,01 
SUMATERA BARAT;80-84;11.233;19.716;30.949; 0,00 ;-0,01 
SUMATERA BARAT;85-89;3.867;8.018;11.885; 0,00 ;-0,00 
SUMATERA BARAT;90-94;834;2.118;2.952; 0,00 ;-0,00 
SUMATERA BARAT;95+;105;334;439; 0,00 ;-0,00 
RIAU;0-4;312.730;297.905;610.635; 0,10 ;-0,10 
RIAU;05-9;308.463;294.281;602.744; 0,09 ;-0,09 
RIAU;10-14;296.832;278.325;575.157; 0,09 ;-0,09 
RIAU;15-19;290.941;274.204;565.145; 0,09 ;-0,09 
RIAU;20-24;288.849;276.838;565.687; 0,09 ;-0,09 
RIAU;25-29;280.294;270.802;551.096; 0,09 ;-0,09 
